disease_name,year,incidence_rate
Total tetanus,2011,2.3
Yellow fever,2011,
Congenital rubella syndrome,2012,
Diphtheria,2012,2.0
Japanese encephalitis,2012,
Measles,2012,2.6
Mumps,2012,
Neonatal tetanus,2012,0.0
Pertussis,2012,34.5
Poliomyelitis,2012,0.0
Rubella,2012,1.0
Total tetanus,2012,1.9
Yellow fever,2012,
Congenital rubella syndrome,2013,
Diphtheria,2013,2.4
Japanese encephalitis,2013,0.8
Measles,2013,6.4
Mumps,2013,
Neonatal tetanus,2013,0.0
Pertussis,2013,24.0
Poliomyelitis,2013,0.0
Rubella,2013,2.9
Total tetanus,2013,2.2
Yellow fever,2013,
Congenital rubella syndrome,2014,
Diphtheria,2014,4.6
Japanese encephalitis,2014,1.3
Measles,2014,20.2
Mumps,2014,
Neonatal tetanus,2014,0.0
Pertussis,2014,35.6
Poliomyelitis,2014,0.0
Rubella,2014,3.7
Total tetanus,2014,3.8
Yellow fever,2014,
Congenital rubella syndrome,2015,
Diphtheria,2015,1.8
Japanese encephalitis,2015,1.2
Measles,2015,22.7
Mumps,2015,
Neonatal tetanus,2015,0.0
Pertussis,2015,19.0
Poliomyelitis,2015,0.0
Rubella,2015,2.4
Total tetanus,2015,1.7
Yellow fever,2015,
Congenital rubella syndrome,2016,0.0
Diphtheria,2016,2.5
Japanese encephalitis,2016,1.2
Measles,2016,12.8
Mumps,2016,
Neonatal tetanus,2016,0.0
Pertussis,2016,27.7
Poliomyelitis,2016,0.0
Rubella,2016,6.2
Total tetanus,2016,2.8
Yellow fever,2016,
Congenital rubella syndrome,2017,0.0
Diphtheria,2017,3.9
Japanese encephalitis,2017,1.5
Measles,2017,8.8
Mumps,2017,
Neonatal tetanus,2017,0.0
Pertussis,2017,17.5
Poliomyelitis,2017,0.0
Rubella,2017,2.0
Total tetanus,2017,3.6
Yellow fever,2017,
Congenital rubella syndrome,2018,
Diphtheria,2018,6.4
Japanese encephalitis,2018,1.2
Measles,2018,14.2
Mumps,2018,
Neonatal tetanus,2018,0.0
Pertussis,2018,9.6
Poliomyelitis,2018,0.0
Rubella,2018,1.7
Total tetanus,2018,5.1
Typhoid,2018,
Yellow fever,2018,
Congenital rubella syndrome,2019,
Diphtheria,2019,6.9
Japanese encephalitis,2019,1.8
Measles,2019,7.5
Mumps,2019,
Neonatal tetanus,2019,0.0
Pertussis,2019,8.5
Poliomyelitis,2019,0.0
Rubella,2019,2.5
Total tetanus,2019,5.1
Typhoid,2019,
Yellow fever,2019,
Congenital rubella syndrome,2020,
Diphtheria,2020,2.5
Invasive meningococcal disease,2020,
Japanese encephalitis,2020,0.5
Measles,2020,4.0
Mumps,2020,
Neonatal tetanus,2020,0.0
Pertussis,2020,9.0
Poliomyelitis,2020,0.0
Rubella,2020,0.9
Total tetanus,2020,1.0
Typhoid,2020,
Yellow fever,2020,
Congenital rubella syndrome,2021,
Diphtheria,2021,1.3
Invasive meningococcal disease,2021,
Japanese encephalitis,2021,0.3
Measles,2021,4.0
Mumps,2021,0.5
Neonatal tetanus,2021,0.0
Pertussis,2021,0.4
Poliomyelitis,2021,0.0
Rubella,2021,1.2
Total tetanus,2021,0.9
Typhoid,2021,
Yellow fever,2021,
Congenital rubella syndrome,2022,0.1
Diphtheria,2022,2.3
Invasive meningococcal disease,2022,
Japanese encephalitis,2022,0.9
Measles,2022,28.7
Mumps,2022,0.0
Neonatal tetanus,2022,0.0
Pertussis,2022,3.1
Poliomyelitis,2022,
Rubella,2022,1.8
Total tetanus,2022,0.0
Typhoid,2022,282.4
Yellow fever,2022,
Congenital rubella syndrome,2023,0.0
Diphtheria,2023,2.7
Invasive meningococcal disease,2023,
Japanese encephalitis,2023,0.9
Measles,2023,45.3
Mumps,2023,0.1
Neonatal tetanus,2023,0.0
Pertussis,2023,3.4
Poliomyelitis,2023,
Rubella,2023,2.1
Total tetanus,2023,0.0
Typhoid,2023,399.2
Yellow fever,2023,
