year,vaccine_name,coverage_percent
1982,Yellow fever vaccine,
1983,BCG (Baccille Calmette Guérin) vaccine,20.0
1983,BCG (Baccille Calmette Guérin) vaccine,29.8
1983,BCG (Baccille Calmette Guérin) vaccine,6.0
1983,"DTP-containing vaccine, 1st dose",36.0
1983,"DTP-containing vaccine, 3rd dose",40.0
1983,"DTP-containing vaccine, 3rd dose",77.5
1983,"DTP-containing vaccine, 3rd dose",14.0
1983,"HepB, 3rd dose",
1983,"Hib, 3rd dose",
1983,"Measles-containing vaccine, 1st dose",
1983,"Measles-containing vaccine, 1st dose",
1983,"Measles-containing vaccine, 2nd dose",
1983,Protection at birth (PAB) against neonatal tetanus,38.0
1983,"Polio, 3rd dose",18.0
1983,"Polio, 3rd dose",100.0
1983,"Polio, 3rd dose",10.0
1983,"Rubella-containing vaccine, 1st dose",
1983,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",31.0
1983,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",31.0
1983,"Vitamin A, 1st dose",
1983,Yellow fever vaccine,
1984,BCG (Baccille Calmette Guérin) vaccine,21.0
1984,BCG (Baccille Calmette Guérin) vaccine,37.0
1984,BCG (Baccille Calmette Guérin) vaccine,7.0
1984,"DTP-containing vaccine, 1st dose",39.0
1984,"DTP-containing vaccine, 3rd dose",42.0
1984,"DTP-containing vaccine, 3rd dose",86.7
1984,"DTP-containing vaccine, 3rd dose",16.0
1984,"HepB, 3rd dose",
1984,"Hib, 3rd dose",
1984,"Measles-containing vaccine, 1st dose",
1984,"Measles-containing vaccine, 1st dose",
1984,"Measles-containing vaccine, 2nd dose",
1984,Protection at birth (PAB) against neonatal tetanus,43.0
1984,"Polio, 3rd dose",29.0
1984,"Polio, 3rd dose",82.4
1984,"Polio, 3rd dose",12.0
1984,"Rubella-containing vaccine, 1st dose",
1984,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",35.0
1984,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",35.0
1984,"Vitamin A, 1st dose",
1984,Yellow fever vaccine,
1985,BCG (Baccille Calmette Guérin) vaccine,29.0
1985,BCG (Baccille Calmette Guérin) vaccine,47.3
1985,BCG (Baccille Calmette Guérin) vaccine,8.0
1985,"DTP-containing vaccine, 1st dose",41.0
1985,"DTP-containing vaccine, 3rd dose",41.0
1985,"DTP-containing vaccine, 3rd dose",100.0
1985,"DTP-containing vaccine, 3rd dose",18.0
1985,"HepB, 3rd dose",
1985,"HepB, 3rd dose",
1985,"Hib, 3rd dose",
1985,"Measles-containing vaccine, 1st dose",1.0
1985,"Measles-containing vaccine, 1st dose",1.0
1985,"Measles-containing vaccine, 1st dose",1.0
1985,"Measles-containing vaccine, 2nd dose",
1985,Protection at birth (PAB) against neonatal tetanus,49.0
1985,"Polio, 3rd dose",36.0
1985,"Polio, 3rd dose",93.9
1985,"Polio, 3rd dose",14.0
1985,"Rubella-containing vaccine, 1st dose",
1985,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",40.0
1985,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",40.0
1985,"Vitamin A, 1st dose",
1985,Yellow fever vaccine,
1986,BCG (Baccille Calmette Guérin) vaccine,52.0
1986,BCG (Baccille Calmette Guérin) vaccine,77.2
1986,BCG (Baccille Calmette Guérin) vaccine,9.0
1986,"DTP-containing vaccine, 1st dose",44.0
1986,"DTP-containing vaccine, 3rd dose",57.0
1986,"DTP-containing vaccine, 3rd dose",84.9
1986,"DTP-containing vaccine, 3rd dose",20.0
1986,"HepB, 3rd dose",
1986,"HepB, 3rd dose",
1986,"Hib, 3rd dose",
1986,"Measles-containing vaccine, 1st dose",16.0
1986,"Measles-containing vaccine, 1st dose",67.6
1986,"Measles-containing vaccine, 1st dose",10.0
1986,"Measles-containing vaccine, 2nd dose",
1986,Protection at birth (PAB) against neonatal tetanus,55.0
1986,"Polio, 3rd dose",49.0
1986,"Polio, 3rd dose",72.8
1986,"Polio, 3rd dose",16.0
1986,"Rubella-containing vaccine, 1st dose",
1986,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",45.0
1986,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",45.0
1986,"Vitamin A, 1st dose",
1986,Yellow fever vaccine,
1987,BCG (Baccille Calmette Guérin) vaccine,71.0
1987,BCG (Baccille Calmette Guérin) vaccine,95.0
1987,BCG (Baccille Calmette Guérin) vaccine,23.0
1987,"DTP-containing vaccine, 1st dose",55.0
1987,"DTP-containing vaccine, 3rd dose",72.0
1987,"DTP-containing vaccine, 3rd dose",97.0
1987,"DTP-containing vaccine, 3rd dose",30.0
1987,"HepB, 3rd dose",
1987,"HepB, 3rd dose",
1987,"Hib, 3rd dose",
1987,"Measles-containing vaccine, 1st dose",44.0
1987,"Measles-containing vaccine, 1st dose",89.7
1987,"Measles-containing vaccine, 1st dose",24.0
1987,"Measles-containing vaccine, 2nd dose",
1987,Protection at birth (PAB) against neonatal tetanus,65.0
1987,"Polio, 3rd dose",61.0
1987,"Polio, 3rd dose",82.9
1987,"Polio, 3rd dose",27.0
1987,"Rubella-containing vaccine, 1st dose",
1987,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57.0
1987,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57.0
1987,"Vitamin A, 1st dose",
1987,Yellow fever vaccine,
1988,BCG (Baccille Calmette Guérin) vaccine,79.0
1988,BCG (Baccille Calmette Guérin) vaccine,96.6
1988,BCG (Baccille Calmette Guérin) vaccine,23.0
1988,"DTP-containing vaccine, 1st dose",65.0
1988,"DTP-containing vaccine, 3rd dose",80.0
1988,"DTP-containing vaccine, 3rd dose",93.2
1988,"DTP-containing vaccine, 3rd dose",40.0
1988,"HepB, 3rd dose",
1988,"HepB, 3rd dose",
1988,"Hib, 3rd dose",
1988,"Measles-containing vaccine, 1st dose",55.0
1988,"Measles-containing vaccine, 1st dose",78.9
1988,"Measles-containing vaccine, 1st dose",32.0
1988,"Measles-containing vaccine, 2nd dose",
1988,Protection at birth (PAB) against neonatal tetanus,72.0
1988,"Polio, 3rd dose",75.0
1988,"Polio, 3rd dose",88.1
1988,"Polio, 3rd dose",37.0
1988,"Rubella-containing vaccine, 1st dose",
1988,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",65.0
1988,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",65.0
1988,"Vitamin A, 1st dose",
1988,Yellow fever vaccine,
1989,BCG (Baccille Calmette Guérin) vaccine,89.0
1989,BCG (Baccille Calmette Guérin) vaccine,100.0
1989,BCG (Baccille Calmette Guérin) vaccine,28.0
1989,"DTP-containing vaccine, 1st dose",74.0
1989,"DTP-containing vaccine, 3rd dose",83.0
1989,"DTP-containing vaccine, 3rd dose",100.0
1989,"DTP-containing vaccine, 3rd dose",50.0
1989,"HepB, 3rd dose",
1989,"HepB, 3rd dose",
1989,"Hib, 3rd dose",
1989,"Measles-containing vaccine, 1st dose",69.0
1989,"Measles-containing vaccine, 1st dose",83.3
1989,"Measles-containing vaccine, 1st dose",42.0
1989,"Measles-containing vaccine, 2nd dose",
1989,Protection at birth (PAB) against neonatal tetanus,70.0
1989,"Polio, 3rd dose",82.0
1989,"Polio, 3rd dose",99.5
1989,"Polio, 3rd dose",55.0
1989,"Rubella-containing vaccine, 1st dose",
1989,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59.0
1989,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59.0
1989,"Vitamin A, 1st dose",
1989,Yellow fever vaccine,
1990,BCG (Baccille Calmette Guérin) vaccine,100.0
1990,BCG (Baccille Calmette Guérin) vaccine,100.0
1990,BCG (Baccille Calmette Guérin) vaccine,66.0
1990,"DTP-containing vaccine, 1st dose",88.0
1990,"DTP-containing vaccine, 3rd dose",100.0
1990,"DTP-containing vaccine, 3rd dose",100.0
1990,"DTP-containing vaccine, 3rd dose",70.0
1990,"HepB, 3rd dose",
1990,"HepB, 3rd dose",
1990,"Hib, 3rd dose",
1990,"Hib, 3rd dose",
1990,"Measles-containing vaccine, 1st dose",91.0
1990,"Measles-containing vaccine, 1st dose",90.9
1990,"Measles-containing vaccine, 1st dose",56.0
1990,"Measles-containing vaccine, 2nd dose",
1990,Protection at birth (PAB) against neonatal tetanus,81.0
1990,"Polio, 3rd dose",100.0
1990,"Polio, 3rd dose",100.0
1990,"Polio, 3rd dose",66.0
1990,"Rubella-containing vaccine, 1st dose",
1990,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",78.0
1990,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",78.0
1990,"Vitamin A, 1st dose",
1990,Yellow fever vaccine,
1991,BCG (Baccille Calmette Guérin) vaccine,93.0
1991,BCG (Baccille Calmette Guérin) vaccine,92.6
1991,BCG (Baccille Calmette Guérin) vaccine,62.0
1991,"DTP-containing vaccine, 1st dose",80.0
1991,"DTP-containing vaccine, 3rd dose",91.0
1991,"DTP-containing vaccine, 3rd dose",90.47
1991,"DTP-containing vaccine, 3rd dose",57.0
1991,"HepB, 3rd dose",
1991,"HepB, 3rd dose",
1991,"Hib, 3rd dose",
1991,"Hib, 3rd dose",
1991,"Measles-containing vaccine, 1st dose",85.0
1991,"Measles-containing vaccine, 1st dose",85.0
1991,"Measles-containing vaccine, 1st dose",43.0
1991,"Measles-containing vaccine, 2nd dose",
1991,Protection at birth (PAB) against neonatal tetanus,82.0
1991,"Polio, 3rd dose",91.0
1991,"Polio, 3rd dose",90.5
1991,"Polio, 3rd dose",58.0
1991,"Rubella-containing vaccine, 1st dose",
1991,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",78.0
1991,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",78.0
1991,"Vitamin A, 1st dose",
1991,Yellow fever vaccine,
1992,BCG (Baccille Calmette Guérin) vaccine,97.0
1992,BCG (Baccille Calmette Guérin) vaccine,96.47
1992,BCG (Baccille Calmette Guérin) vaccine,65.0
1992,"DTP-containing vaccine, 1st dose",79.0
1992,"DTP-containing vaccine, 3rd dose",90.0
1992,"DTP-containing vaccine, 3rd dose",90.19
1992,"DTP-containing vaccine, 3rd dose",56.0
1992,"HepB, 3rd dose",
1992,"HepB, 3rd dose",
1992,"Hib, 3rd dose",
1992,"Hib, 3rd dose",
1992,"Measles-containing vaccine, 1st dose",86.0
1992,"Measles-containing vaccine, 1st dose",85.8
1992,"Measles-containing vaccine, 1st dose",51.0
1992,"Measles-containing vaccine, 2nd dose",
1992,Protection at birth (PAB) against neonatal tetanus,83.0
1992,"Polio, 3rd dose",91.0
1992,"Polio, 3rd dose",90.8
1992,"Polio, 3rd dose",56.0
1992,"Rubella-containing vaccine, 1st dose",
1992,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",79.0
1992,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",79.0
1992,"Vitamin A, 1st dose",
1992,Yellow fever vaccine,
1993,BCG (Baccille Calmette Guérin) vaccine,97.0
1993,BCG (Baccille Calmette Guérin) vaccine,97.2
1993,BCG (Baccille Calmette Guérin) vaccine,69.0
1993,"DTP-containing vaccine, 1st dose",82.0
1993,"DTP-containing vaccine, 3rd dose",93.0
1993,"DTP-containing vaccine, 3rd dose",93.2
1993,"DTP-containing vaccine, 3rd dose",61.0
1993,"HepB, 3rd dose",
1993,"HepB, 3rd dose",
1993,"Hib, 3rd dose",
1993,"Hib, 3rd dose",
1993,"Measles-containing vaccine, 1st dose",89.0
1993,"Measles-containing vaccine, 1st dose",88.5
1993,"Measles-containing vaccine, 1st dose",59.0
1993,"Measles-containing vaccine, 2nd dose",
1993,Protection at birth (PAB) against neonatal tetanus,84.0
1993,"Polio, 3rd dose",94.0
1993,"Polio, 3rd dose",93.6
1993,"Polio, 3rd dose",61.0
1993,"Rubella-containing vaccine, 1st dose",
1993,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",82.0
1993,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",82.0
1993,"Vitamin A, 1st dose",
1993,Yellow fever vaccine,
1994,BCG (Baccille Calmette Guérin) vaccine,100.0
1994,BCG (Baccille Calmette Guérin) vaccine,99.8
1994,BCG (Baccille Calmette Guérin) vaccine,71.0
1994,"DTP-containing vaccine, 1st dose",86.0
1994,"DTP-containing vaccine, 3rd dose",94.0
1994,"DTP-containing vaccine, 3rd dose",94.5
1994,"DTP-containing vaccine, 3rd dose",67.0
1994,"HepB, 3rd dose",
1994,"HepB, 3rd dose",
1994,"Hib, 3rd dose",
1994,"Hib, 3rd dose",
1994,"Measles-containing vaccine, 1st dose",87.0
1994,"Measles-containing vaccine, 1st dose",87.2
1994,"Measles-containing vaccine, 1st dose",67.0
1994,"Measles-containing vaccine, 2nd dose",
1994,Protection at birth (PAB) against neonatal tetanus,84.0
1994,"Polio, 3rd dose",95.0
1994,"Polio, 3rd dose",95.2
1994,"Polio, 3rd dose",67.0
1994,"Rubella-containing vaccine, 1st dose",
1994,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",81.0
1994,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",81.0
1994,"Vitamin A, 1st dose",
1994,Yellow fever vaccine,
1995,BCG (Baccille Calmette Guérin) vaccine,96.0
1995,BCG (Baccille Calmette Guérin) vaccine,97.1
1995,BCG (Baccille Calmette Guérin) vaccine,81.0
1995,"DTP-containing vaccine, 1st dose",88.0
1995,"DTP-containing vaccine, 3rd dose",90.0
1995,"DTP-containing vaccine, 3rd dose",90.7
1995,"DTP-containing vaccine, 3rd dose",71.0
1995,"HepB, 3rd dose",
1995,"HepB, 3rd dose",
1995,"Hib, 3rd dose",
1995,"Hib, 3rd dose",
1995,"Measles-containing vaccine, 1st dose",81.0
1995,"Measles-containing vaccine, 1st dose",82.6
1995,"Measles-containing vaccine, 1st dose",72.0
1995,"Measles-containing vaccine, 2nd dose",
1995,Protection at birth (PAB) against neonatal tetanus,83.0
1995,"Polio, 3rd dose",91.0
1995,"Polio, 3rd dose",91.6
1995,"Polio, 3rd dose",71.0
1995,"Rubella-containing vaccine, 1st dose",
1995,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",77.0
1995,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",77.0
1995,"Vitamin A, 1st dose",
1995,Yellow fever vaccine,
1996,BCG (Baccille Calmette Guérin) vaccine,96.0
1996,BCG (Baccille Calmette Guérin) vaccine,98.2
1996,BCG (Baccille Calmette Guérin) vaccine,79.0
1996,"DTP-containing vaccine, 1st dose",86.0
1996,"DTP-containing vaccine, 3rd dose",88.0
1996,"DTP-containing vaccine, 3rd dose",91.5
1996,"DTP-containing vaccine, 3rd dose",66.0
1996,"HepB, 3rd dose",
1996,"HepB, 3rd dose",
1996,"Hib, 3rd dose",
1996,"Hib, 3rd dose",
1996,"Measles-containing vaccine, 1st dose",81.0
1996,"Measles-containing vaccine, 1st dose",83.2
1996,"Measles-containing vaccine, 1st dose",66.0
1996,"Measles-containing vaccine, 2nd dose",
1996,Protection at birth (PAB) against neonatal tetanus,82.0
1996,"Polio, 3rd dose",90.0
1996,"Polio, 3rd dose",92.7
1996,"Polio, 3rd dose",67.0
1996,"Rubella-containing vaccine, 1st dose",
1996,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",75.0
1996,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",75.0
1996,"Vitamin A, 1st dose",
1996,Yellow fever vaccine,
1997,BCG (Baccille Calmette Guérin) vaccine,99.0
1997,BCG (Baccille Calmette Guérin) vaccine,100.0
1997,BCG (Baccille Calmette Guérin) vaccine,72.0
1997,"DTP-containing vaccine, 1st dose",82.0
1997,"DTP-containing vaccine, 3rd dose",93.0
1997,"DTP-containing vaccine, 3rd dose",93.0
1997,"DTP-containing vaccine, 3rd dose",62.0
1997,"HepB, 3rd dose",
1997,"HepB, 3rd dose",
1997,"Hib, 3rd dose",
1997,"Hib, 3rd dose",
1997,"Measles-containing vaccine, 1st dose",86.0
1997,"Measles-containing vaccine, 1st dose",81.0
1997,"Measles-containing vaccine, 1st dose",55.0
1997,"Measles-containing vaccine, 2nd dose",
1997,Protection at birth (PAB) against neonatal tetanus,84.0
1997,"Polio, 3rd dose",94.0
1997,"Polio, 3rd dose",94.0
1997,"Polio, 3rd dose",63.0
1997,"Rubella-containing vaccine, 1st dose",
1997,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",80.0
1997,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",80.0
1997,"Vitamin A, 1st dose",
1997,Yellow fever vaccine,
1998,BCG (Baccille Calmette Guérin) vaccine,97.0
1998,BCG (Baccille Calmette Guérin) vaccine,91.0
1998,BCG (Baccille Calmette Guérin) vaccine,73.0
1998,"DTP-containing vaccine, 1st dose",78.0
1998,"DTP-containing vaccine, 3rd dose",94.0
1998,"DTP-containing vaccine, 3rd dose",90.0
1998,"DTP-containing vaccine, 3rd dose",61.0
1998,"HepB, 3rd dose",
1998,"HepB, 3rd dose",
1998,"Hib, 3rd dose",
1998,"Hib, 3rd dose",
1998,"Measles-containing vaccine, 1st dose",88.0
1998,"Measles-containing vaccine, 1st dose",66.0
1998,"Measles-containing vaccine, 1st dose",53.0
1998,"Measles-containing vaccine, 2nd dose",
1998,Protection at birth (PAB) against neonatal tetanus,84.0
1998,"Polio, 3rd dose",95.0
1998,"Polio, 3rd dose",90.0
1998,"Polio, 3rd dose",60.0
1998,"Rubella-containing vaccine, 1st dose",
1998,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",
1998,"Vitamin A, 1st dose",
1998,Yellow fever vaccine,
1999,BCG (Baccille Calmette Guérin) vaccine,101.0
1999,BCG (Baccille Calmette Guérin) vaccine,74.0
1999,BCG (Baccille Calmette Guérin) vaccine,74.0
1999,"DTP-containing vaccine, 1st dose",74.0
1999,"DTP-containing vaccine, 3rd dose",95.0
1999,"DTP-containing vaccine, 3rd dose",59.0
1999,"DTP-containing vaccine, 3rd dose",59.0
1999,"HepB, 3rd dose",
1999,"HepB, 3rd dose",
1999,"HepB, 3rd dose",
1999,"Hib, 3rd dose",
1999,"Hib, 3rd dose",
1999,"Hib, 3rd dose",
1999,"Measles-containing vaccine, 1st dose",90.0
1999,"Measles-containing vaccine, 1st dose",56.0
1999,"Measles-containing vaccine, 1st dose",56.0
1999,"Measles-containing vaccine, 2nd dose",
1999,"Measles-containing vaccine, 2nd dose",
1999,Protection at birth (PAB) against neonatal tetanus,85.0
1999,"Polio, 3rd dose",96.0
1999,"Polio, 3rd dose",57.0
1999,"Polio, 3rd dose",57.0
1999,"Rubella-containing vaccine, 1st dose",
1999,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",76.3
1999,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",80.0
1999,"Vitamin A, 1st dose",
1999,Yellow fever vaccine,
1999,Yellow fever vaccine,
2000,BCG (Baccille Calmette Guérin) vaccine,108.0
2000,BCG (Baccille Calmette Guérin) vaccine,74.0
2000,BCG (Baccille Calmette Guérin) vaccine,74.0
2000,"DTP-containing vaccine, 1st dose",
2000,"DTP-containing vaccine, 1st dose",74.0
2000,"DTP-containing vaccine, 1st dose",74.0
2000,"DTP-containing vaccine, 3rd dose",102.0
2000,"DTP-containing vaccine, 3rd dose",58.0
2000,"DTP-containing vaccine, 3rd dose",58.0
2000,"HepB, birth dose (given within 24 hours of birth)",
2000,"HepB, birth dose (given within 24 hours of birth)",
2000,"HepB, birth dose (given within 24 hours of birth)",
2000,"HepB, 3rd dose",
2000,"HepB, 3rd dose",
2000,"HepB, 3rd dose",
2000,"Hib, 3rd dose",
2000,"Hib, 3rd dose",
2000,"Hib, 3rd dose",
2000,"Measles-containing vaccine, 1st dose",97.0
2000,"Measles-containing vaccine, 1st dose",56.0
2000,"Measles-containing vaccine, 1st dose",56.0
2000,"Measles-containing vaccine, 2nd dose",
2000,"Measles-containing vaccine, 2nd dose",
2000,"Measles-containing vaccine, 2nd dose",
2000,Protection at birth (PAB) against neonatal tetanus,
2000,Protection at birth (PAB) against neonatal tetanus,85.0
2000,"Polio, 3rd dose",104.0
2000,"Polio, 3rd dose",57.0
2000,"Polio, 3rd dose",57.0
2000,"Rubella-containing vaccine, 1st dose",
2000,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",79.5
2000,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",79.5
2000,"Vitamin A, 1st dose",
2000,"Vitamin A, 1st dose",
2000,Yellow fever vaccine,
2000,Yellow fever vaccine,
2001,BCG (Baccille Calmette Guérin) vaccine,106.0
2001,BCG (Baccille Calmette Guérin) vaccine,75.0
2001,BCG (Baccille Calmette Guérin) vaccine,75.0
2001,"DTP-containing vaccine, 1st dose",
2001,"DTP-containing vaccine, 1st dose",75.0
2001,"DTP-containing vaccine, 1st dose",75.0
2001,"DTP-containing vaccine, 3rd dose",101.0
2001,"DTP-containing vaccine, 3rd dose",59.0
2001,"DTP-containing vaccine, 3rd dose",59.0
2001,"HepB, birth dose (given within 24 hours of birth)",
2001,"HepB, birth dose (given within 24 hours of birth)",
2001,"HepB, birth dose (given within 24 hours of birth)",
2001,"HepB, 3rd dose",
2001,"HepB, 3rd dose",
2001,"HepB, 3rd dose",
2001,"Hib, 3rd dose",
2001,"Hib, 3rd dose",
2001,"Hib, 3rd dose",
2001,"Measles-containing vaccine, 1st dose",95.0
2001,"Measles-containing vaccine, 1st dose",57.0
2001,"Measles-containing vaccine, 1st dose",57.0
2001,"Measles-containing vaccine, 2nd dose",
2001,"Measles-containing vaccine, 2nd dose",
2001,"Measles-containing vaccine, 2nd dose",
2001,Protection at birth (PAB) against neonatal tetanus,83.0
2001,"Polio, 3rd dose",99.0
2001,"Polio, 3rd dose",58.0
2001,"Polio, 3rd dose",58.0
2001,"Rubella-containing vaccine, 1st dose",
2001,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",83.4
2001,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",75.5
2001,"Vitamin A, 1st dose",
2001,"Vitamin A, 1st dose",43.3
2001,Yellow fever vaccine,
2001,Yellow fever vaccine,
2002,BCG (Baccille Calmette Guérin) vaccine,103.0
2002,BCG (Baccille Calmette Guérin) vaccine,75.0
2002,BCG (Baccille Calmette Guérin) vaccine,75.0
2002,"DTP-containing vaccine, 1st dose",
2002,"DTP-containing vaccine, 1st dose",75.0
2002,"DTP-containing vaccine, 1st dose",75.0
2002,"DTP-containing vaccine, 3rd dose",97.0
2002,"DTP-containing vaccine, 3rd dose",59.0
2002,"DTP-containing vaccine, 3rd dose",59.0
2002,"HepB, birth dose (given within 24 hours of birth)",
2002,"HepB, birth dose (given within 24 hours of birth)",
2002,"HepB, birth dose (given within 24 hours of birth)",
2002,"HepB, 3rd dose",
2002,"HepB, 3rd dose",
2002,"HepB, 3rd dose",
2002,"Hib, 3rd dose",
2002,"Hib, 3rd dose",
2002,"Hib, 3rd dose",
2002,"Measles-containing vaccine, 1st dose",92.0
2002,"Measles-containing vaccine, 1st dose",56.0
2002,"Measles-containing vaccine, 1st dose",56.0
2002,"Measles-containing vaccine, 2nd dose",
2002,"Measles-containing vaccine, 2nd dose",
2002,"Measles-containing vaccine, 2nd dose",
2002,Protection at birth (PAB) against neonatal tetanus,87.0
2002,"Polio, 3rd dose",98.0
2002,"Polio, 3rd dose",58.0
2002,"Polio, 3rd dose",58.0
2002,"Rubella-containing vaccine, 1st dose",
2002,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",76.0
2002,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",86.0
2002,"Vitamin A, 1st dose",77.7
2002,"Vitamin A, 1st dose",47.0
2002,Yellow fever vaccine,
2002,Yellow fever vaccine,
2003,BCG (Baccille Calmette Guérin) vaccine,100.0
2003,BCG (Baccille Calmette Guérin) vaccine,77.0
2003,BCG (Baccille Calmette Guérin) vaccine,77.0
2003,"DTP-containing vaccine, 1st dose",
2003,"DTP-containing vaccine, 1st dose",76.0
2003,"DTP-containing vaccine, 1st dose",76.0
2003,"DTP-containing vaccine, 3rd dose",87.0
2003,"DTP-containing vaccine, 3rd dose",61.0
2003,"DTP-containing vaccine, 3rd dose",61.0
2003,"HepB, birth dose (given within 24 hours of birth)",
2003,"HepB, birth dose (given within 24 hours of birth)",
2003,"HepB, birth dose (given within 24 hours of birth)",
2003,"HepB, 3rd dose",
2003,"HepB, 3rd dose",
2003,"HepB, 3rd dose",
2003,"Hib, 3rd dose",
2003,"Hib, 3rd dose",
2003,"Hib, 3rd dose",
2003,"Measles-containing vaccine, 1st dose",86.0
2003,"Measles-containing vaccine, 1st dose",60.0
2003,"Measles-containing vaccine, 1st dose",60.0
2003,"Measles-containing vaccine, 2nd dose",
2003,"Measles-containing vaccine, 2nd dose",
2003,"Measles-containing vaccine, 2nd dose",
