country_name,avg_coverage
Mauritania,66.44302208835342
American Samoa,66.01277173913044
Philippines,65.51724196277496
High income: oecd,65.49646643109541
Liberia,65.32900205761317
Cameroon,65.05889990982868
Guinea,64.6297175141243
Developed countries,64.20494699646643
Gabon,63.94281690140845
High income,63.41287284144427
Venezuela (Bolivarian Republic of),62.8145827123696
Niger,62.676826241134755
Region of the Americas,62.58712715855573
Lao People's Democratic Republic,61.619962651727356
Democratic Republic of the Congo,61.45849289099526
Haiti,60.79628834355828
Ethiopia,59.601614135625596
Yemen,59.29480301760268
European Region,58.98504983388705
Latin America and the Caribbean,58.68802698145025
Economy in transition,57.32965009208103
High income: non oecd,56.63579277864992
South Sudan,56.548680203045684
Angola,56.49424454148472
Afghanistan,56.07267116682739
Central and Eastern Europe and the Commonwealth of Independent States,55.59540636042403
Chad,53.70384529147982
Gavi 5.0 no,53.69814502529511
Equatorial Guinea,53.039867374005304
Upper middle income,52.94505494505494
Central African Republic,52.42754385964912
Papua New Guinea,51.26802264808362
Western Pacific Region,51.18688524590164
Nigeria,49.69649033570702
Middle East and North Africa,48.447587354409315
East Asia and the Pacific,47.669611307420496
,45.797077922077925
Global,45.034108527131785
Middle income,44.686821705426354
Developing,43.949826989619375
Eastern Mediterranean Region,42.734883720930235
Somalia,41.20298527443106
South-East Asia Region,40.19344262295082
Lower middle income,39.4015503875969
Eastern and Southern Africa,36.28452579034942
South Asia,36.185512367491164
African Region,35.13178294573643
Least developed,34.46193771626297
Gavi 5.0 yes,34.42595673876872
Low income,33.52248062015504
West and Central Africa,29.15973377703827
