country_name,vaccine_name,missing_data_count
Eritrea,"HepB, birth dose (given within 24 hours of birth)",65
Eswatini,"Rubella-containing vaccine, 1st dose",65
Eswatini,Yellow fever vaccine,65
Fiji,Yellow fever vaccine,65
France,"Vitamin A, 1st dose",65
Gambia,"Rubella-containing vaccine, 1st dose",65
Georgia,"Vitamin A, 1st dose",65
Guinea-Bissau,"HepB, 3rd dose",65
Guyana,"Vitamin A, 1st dose",65
Iceland,"HepB, birth dose (given within 24 hours of birth)",65
India,Yellow fever vaccine,65
Iraq,"Hib, 3rd dose",65
Ireland,"Vitamin A, 1st dose",65
Japan,"Hib, 3rd dose",65
Kenya,"Measles-containing vaccine, 2nd dose",65
Lebanon,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",65
Lebanon,Yellow fever vaccine,65
Lesotho,"HepB, birth dose (given within 24 hours of birth)",65
Liberia,"HepB, birth dose (given within 24 hours of birth)",65
New Zealand,Yellow fever vaccine,65
Pakistan,"Vitamin A, 1st dose",65
Portugal,Yellow fever vaccine,65
Saint Kitts and Nevis,"Vitamin A, 1st dose",65
Saint Lucia,Yellow fever vaccine,65
Saint Vincent and the Grenadines,"Vitamin A, 1st dose",65
San Marino,"HepB, birth dose (given within 24 hours of birth)",65
San Marino,"Vitamin A, 1st dose",65
South Africa,Yellow fever vaccine,65
Sudan,"Vitamin A, 1st dose",65
Turkmenistan,"Vitamin A, 1st dose",65
United Kingdom of Great Britain and Northern Ireland,"Vitamin A, 1st dose",65
Uruguay,"Vitamin A, 1st dose",65
Uruguay,Yellow fever vaccine,65
Vanuatu,"Vitamin A, 1st dose",65
Vanuatu,Yellow fever vaccine,65
Viet Nam,"Rubella-containing vaccine, 1st dose",65
Albania,"Vitamin A, 1st dose",64
Algeria,"Rubella-containing vaccine, 1st dose",64
Angola,"Rubella-containing vaccine, 1st dose",64
Antigua and Barbuda,"Vitamin A, 1st dose",64
Antigua and Barbuda,Yellow fever vaccine,64
Austria,Yellow fever vaccine,64
Barbados,Yellow fever vaccine,64
Belgium,Yellow fever vaccine,64
Bulgaria,Yellow fever vaccine,64
Burkina Faso,"HepB, birth dose (given within 24 hours of birth)",64
China,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",64
Cook Islands,"Vitamin A, 1st dose",64
Cook Islands,Yellow fever vaccine,64
Estonia,"HepB, birth dose (given within 24 hours of birth)",64
Gabon,"Vitamin A, 1st dose",64
Greece,"Vitamin A, 1st dose",64
Greece,Yellow fever vaccine,64
Israel,Yellow fever vaccine,64
Nauru,"Vitamin A, 1st dose",64
Nepal,"Hib, 3rd dose",64
Pakistan,"HepB, birth dose (given within 24 hours of birth)",64
Palau,"Vitamin A, 1st dose",64
Qatar,"Vitamin A, 1st dose",64
Romania,Yellow fever vaccine,64
Saint Lucia,"Vitamin A, 1st dose",64
Sierra Leone,"Measles-containing vaccine, 2nd dose",64
Spain,Yellow fever vaccine,64
Suriname,"Vitamin A, 1st dose",64
Trinidad and Tobago,"Vitamin A, 1st dose",64
Venezuela (Bolivarian Republic of),"Vitamin A, 1st dose",64
Zambia,"HepB, birth dose (given within 24 hours of birth)",64
Antigua and Barbuda,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",63
Argentina,"Vitamin A, 1st dose",63
Barbados,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",63
Barbados,"Vitamin A, 1st dose",63
Bosnia and Herzegovina,"Vitamin A, 1st dose",63
Burundi,"Rubella-containing vaccine, 1st dose",63
Cabo Verde,"Hib, 3rd dose",63
Cambodia,"Hib, 3rd dose",63
Cambodia,"Measles-containing vaccine, 2nd dose",63
Cambodia,"Rubella-containing vaccine, 1st dose",63
Cambodia,Yellow fever vaccine,63
Cameroon,"Rubella-containing vaccine, 1st dose",63
Chad,"Vitamin A, 1st dose",63
Costa Rica,Yellow fever vaccine,63
Croatia,"HepB, birth dose (given within 24 hours of birth)",63
Cyprus,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",63
Dominican Republic,Yellow fever vaccine,63
Equatorial Guinea,Yellow fever vaccine,63
Finland,"Vitamin A, 1st dose",63
Grenada,Yellow fever vaccine,63
Indonesia,"Rubella-containing vaccine, 1st dose",63
Ireland,"HepB, 3rd dose",63
Ireland,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",63
Israel,"Vitamin A, 1st dose",63
Italy,"Measles-containing vaccine, 2nd dose",63
Japan,"Vitamin A, 1st dose",63
Luxembourg,"Vitamin A, 1st dose",63
Malawi,"Rubella-containing vaccine, 1st dose",63
Malta,Yellow fever vaccine,63
Mongolia,"Vitamin A, 1st dose",63
Paraguay,"Vitamin A, 1st dose",63
Republic of Korea,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",63
Republic of Korea,Yellow fever vaccine,63
Republic of Moldova,"Vitamin A, 1st dose",63
Sao Tome and Principe,"Rubella-containing vaccine, 1st dose",63
Seychelles,"HepB, birth dose (given within 24 hours of birth)",63
Seychelles,"Vitamin A, 1st dose",63
United Republic of Tanzania,"Measles-containing vaccine, 2nd dose",63
Albania,Yellow fever vaccine,62
Algeria,"Vitamin A, 1st dose",62
Belgium,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",62
Bermuda,BCG (Baccille Calmette Guérin) vaccine,62
Brunei Darussalam,"Vitamin A, 1st dose",62
Burkina Faso,"Measles-containing vaccine, 2nd dose",62
Central African Republic,"HepB, 3rd dose",62
Chile,"Vitamin A, 1st dose",62
Costa Rica,"Vitamin A, 1st dose",62
Côte d'Ivoire,"Rubella-containing vaccine, 1st dose",62
Denmark,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",62
El Salvador,Yellow fever vaccine,62
Eritrea,"Measles-containing vaccine, 2nd dose",62
Fiji,"Vitamin A, 1st dose",62
Germany,Yellow fever vaccine,62
Grenada,"Vitamin A, 1st dose",62
Iceland,Yellow fever vaccine,62
Israel,BCG (Baccille Calmette Guérin) vaccine,62
Italy,"Vitamin A, 1st dose",62
Lithuania,Yellow fever vaccine,62
Qatar,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",62
Qatar,Yellow fever vaccine,62
Saint Vincent and the Grenadines,Yellow fever vaccine,62
Senegal,"Measles-containing vaccine, 2nd dose",62
Togo,"Rubella-containing vaccine, 1st dose",62
Ukraine,"Vitamin A, 1st dose",62
United Kingdom of Great Britain and Northern Ireland,Yellow fever vaccine,62
Uruguay,"Measles-containing vaccine, 2nd dose",62
Zambia,"Measles-containing vaccine, 2nd dose",62
Australia,BCG (Baccille Calmette Guérin) vaccine,61
Brazil,"Vitamin A, 1st dose",61
Colombia,"Vitamin A, 1st dose",61
Equatorial Guinea,"Hib, 3rd dose",61
Eswatini,"Hib, 3rd dose",61
Guinea-Bissau,"Hib, 3rd dose",61
Guinea-Bissau,"Vitamin A, 1st dose",61
Lao People's Democratic Republic,"Hib, 3rd dose",61
Malta,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",61
Norway,Yellow fever vaccine,61
Philippines,"Hib, 3rd dose",61
Portugal,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",61
Samoa,"Hib, 3rd dose",61
Sao Tome and Principe,"Measles-containing vaccine, 2nd dose",61
Saudi Arabia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",61
Sierra Leone,"HepB, 3rd dose",61
Solomon Islands,Yellow fever vaccine,61
Sri Lanka,"Hib, 3rd dose",61
Sudan,"Hib, 3rd dose",61
Sweden,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",61
Vanuatu,"Rubella-containing vaccine, 1st dose",61
Zimbabwe,"Rubella-containing vaccine, 1st dose",61
Australia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Australia,Yellow fever vaccine,60
Bangladesh,"Hib, 3rd dose",60
Burundi,"Measles-containing vaccine, 2nd dose",60
Dominican Republic,"Vitamin A, 1st dose",60
Estonia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
France,Yellow fever vaccine,60
Germany,BCG (Baccille Calmette Guérin) vaccine,60
Hungary,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Japan,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Morocco,Yellow fever vaccine,60
Mozambique,"Hib, 3rd dose",60
Netherlands (Kingdom of the),"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Sao Tome and Principe,"Hib, 3rd dose",60
Serbia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Singapore,Yellow fever vaccine,60
Switzerland,BCG (Baccille Calmette Guérin) vaccine,60
Switzerland,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",60
Zambia,"Rubella-containing vaccine, 1st dose",60
Zimbabwe,"Hib, 3rd dose",60
Albania,"Hib, 3rd dose",59
Austria,"HepB, birth dose (given within 24 hours of birth)",59
Austria,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Bahamas,Yellow fever vaccine,59
Bangladesh,"Measles-containing vaccine, 2nd dose",59
Brunei Darussalam,Yellow fever vaccine,59
Bulgaria,"Hib, 3rd dose",59
Bulgaria,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Cook Islands,"Hib, 3rd dose",59
Finland,Yellow fever vaccine,59
Gambia,"Measles-containing vaccine, 2nd dose",59
India,"Rubella-containing vaccine, 1st dose",59
Ireland,Yellow fever vaccine,59
Japan,Yellow fever vaccine,59
Lesotho,"Rubella-containing vaccine, 1st dose",59
Lesotho,Yellow fever vaccine,59
Niger,"Measles-containing vaccine, 2nd dose",59
Norway,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Palau,Yellow fever vaccine,59
Papua New Guinea,"Measles-containing vaccine, 2nd dose",59
Papua New Guinea,"Rubella-containing vaccine, 1st dose",59
Russian Federation,Yellow fever vaccine,59
Singapore,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Singapore,"Vitamin A, 1st dose",59
Sudan,"Measles-containing vaccine, 2nd dose",59
Suriname,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Tajikistan,Yellow fever vaccine,59
Uruguay,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",59
Uzbekistan,"Vitamin A, 1st dose",59
Bahamas,"Vitamin A, 1st dose",58
Benin,"HepB, birth dose (given within 24 hours of birth)",58
Cuba,Yellow fever vaccine,58
Democratic Republic of the Congo,"HepB, 3rd dose",58
Democratic Republic of the Congo,"Hib, 3rd dose",58
Ethiopia,"HepB, 3rd dose",58
Israel,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",58
Italy,Yellow fever vaccine,58
Malta,"HepB, birth dose (given within 24 hours of birth)",58
Mauritania,"HepB, birth dose (given within 24 hours of birth)",58
Montenegro,"HepB, birth dose (given within 24 hours of birth)",58
Myanmar,"Rubella-containing vaccine, 1st dose",58
Niue,"Vitamin A, 1st dose",58
Pakistan,"Hib, 3rd dose",58
Solomon Islands,"Vitamin A, 1st dose",58
Suriname,"Measles-containing vaccine, 2nd dose",58
Tuvalu,"Hib, 3rd dose",58
United Arab Emirates,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",58
United Arab Emirates,"Vitamin A, 1st dose",58
United Arab Emirates,Yellow fever vaccine,58
Zambia,Yellow fever vaccine,58
Andorra,"Measles-containing vaccine, 2nd dose",57
Austria,BCG (Baccille Calmette Guérin) vaccine,57
Belize,Yellow fever vaccine,57
Cambodia,"HepB, 3rd dose",57
Canada,"Measles-containing vaccine, 1st dose",57
Chile,"HepB, birth dose (given within 24 hours of birth)",57
Costa Rica,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57
France,"Measles-containing vaccine, 2nd dose",57
France,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57
Ghana,"Measles-containing vaccine, 2nd dose",57
Greece,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57
Guyana,"HepB, birth dose (given within 24 hours of birth)",57
Iceland,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57
Kiribati,"Measles-containing vaccine, 2nd dose",57
Kyrgyzstan,Yellow fever vaccine,57
Luxembourg,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",57
Madagascar,"Hib, 3rd dose",57
Mauritania,"Hib, 3rd dose",57
Nauru,Yellow fever vaccine,57
Niger,"HepB, 3rd dose",57
Papua New Guinea,"Hib, 3rd dose",57
Poland,"Vitamin A, 1st dose",57
