country_name,vaccine_name,avg_coverage,total_cases
Fiji,"Tetanus-containing vaccine, 4th dose (1st booster)",100.37750000000001,145824.0
Niue,"Pneumococcal conjugate vaccine, 1st dose",100.2932,6104.0
Bangladesh,"Hib, 3rd dose",100.18255813953489,85225187.0
Oman,"Pneumococcal conjugate vaccine, 1st dose",100.16434782608695,5430208.0
Anguilla,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",100.0,1107.0
Bahrain,Meningococcal ACYW conjugate vaccine,100.0,17724.0
Bahrain,"Meningococcal ACYW conjugate vaccine, last dose",100.0,17724.0
Bhutan,Influenza chronic adult,100.0,419172.0
Colombia,Influenza chronic children and adults,100.0,2108930.0
Colombia,Influenza other,100.0,2530716.0
Cook Islands,"Tetanus-containing vaccine, 4th dose (1st booster)",100.0,15928.0
Cuba,Meningococcal B vaccine,100.0,128422.0
Cuba,"Meningococcal B vaccine, last dose",100.0,128422.0
Cuba,"Pertussis-containing vaccine, pregnant women",100.0,385266.0
Cuba,"Tetanus-containing vaccine, 6th dose (3rd booster)",100.0,770532.0
Czechia,"HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,919616.0
Dominica,"Meningococcal ACYW conjugate vaccine, last dose",100.0,980.0
Dominica,Yellow fever vaccine,100.0,32830.0
Egypt,Meningococcal ACYW conjugate vaccine,100.0,718810.0
Egypt,Yellow fever vaccine,100.0,24439540.0
El Salvador,Yellow fever vaccine,100.0,3459078.0
Fiji,Influenza child age group 2,100.0,72912.0
Fiji,Influenza chronic children and adults,100.0,60760.0
Fiji,Influenza chronic pediatric,100.0,72912.0
Fiji,Influenza older persons,100.0,72912.0
Fiji,Influenza residents living in long term care facilities,100.0,72912.0
Honduras,Influenza all persons above >6 months (universal recommendation),100.0,548190.0
Iraq,Influenza other,100.0,2675349.0
Jordan,Influenza health care workers,100.0,543455.0
Kenya,"Malaria vaccine, 1st dose",100.0,5610752.0
Lebanon,Influenza chronic adult,100.0,94494.0
Lebanon,Influenza health care workers,100.0,94494.0
Lebanon,Influenza older persons,100.0,94494.0
Libya,"HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,667808.0
Maldives,Yellow fever vaccine,100.0,1491504.0
Malta,"HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,104224.0
Mauritius,Influenza travellers (incl. Hajj pilgrimage),100.0,6870.0
Monaco,"Diphtheria-containing vaccine, 4th dose (1st booster)",100.0,2376.0
Monaco,"Tetanus-containing vaccine, 4th dose (1st booster)",100.0,2376.0
Montserrat,Protection at birth (PAB) against neonatal tetanus,100.0,70.0
Nauru,"HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,7896.0
Nicaragua,Yellow fever vaccine,100.0,1759500.0
Niue,"Diphtheria-containing vaccine, 5th dose (2nd booster)",100.0,2180.0
Niue,"HPV Female, final dose",100.0,2180.0
Niue,"HPV Male, final dose",100.0,2180.0
Niue,Influenza residents living in long term care facilities,100.0,1090.0
Niue,Protection at birth (PAB) against neonatal tetanus,100.0,3706.0
Oman,"Diphtheria-containing vaccine, 5th dose (2nd booster)",100.0,2036328.0
Oman,"Diphtheria-containing vaccine, 6th dose (3rd booster)",100.0,2036328.0
Oman,"Fractional inactivated polio-containing vaccine, 1st dose",100.0,2036328.0
Oman,"Fractional inactivated polio-containing vaccine, 2nd dose",100.0,2036328.0
Oman,Influenza chronic pediatric,100.0,1018164.0
Oman,Influenza other,100.0,509082.0
Oman,Meningococcal ACYW conjugate vaccine,100.0,339388.0
Oman,"Tetanus-containing vaccine, 5th dose (2nd booster)",100.0,2036328.0
Palau,Protection at birth (PAB) against neonatal tetanus,100.0,1805.0
Panama,Influenza chronic adult,100.0,243978.0
Panama,Influenza chronic pediatric,100.0,243978.0
Qatar,Protection at birth (PAB) against neonatal tetanus,100.0,326682.0
Tokelau,"Diphtheria-containing vaccine, 6th dose (3rd booster)",100.0,876.0
Tokelau,"HPV Female, final dose",100.0,876.0
Tokelau,"HPV Male, final dose",100.0,876.0
Tokelau,"Pneumococcal conjugate vaccine, 1st dose",100.0,1606.0
Tokelau,"Pneumococcal conjugate vaccine, 2nd dose",100.0,1606.0
Tokelau,"Pneumococcal conjugate vaccine, final dose",100.0,1606.0
Tokelau,"Rotavirus, 1st dose",100.0,1606.0
Tokelau,"Rotavirus, last dose",100.0,1606.0
Turkmenistan,Influenza child age group 1,100.0,133260.0
Turkmenistan,Influenza chronic children and adults,100.0,111050.0
Turkmenistan,Influenza health care workers,100.0,133260.0
Turkmenistan,Influenza older persons,100.0,133260.0
Turkmenistan,Influenza pregnant women,100.0,133260.0
Turkmenistan,Influenza residents living in long term care facilities,100.0,133260.0
Turkmenistan,Influenza travellers (incl. Hajj pilgrimage),100.0,111050.0
Turks and Caicos Islands,"HepB, birth dose (given within 24 hours of birth)",100.0,2912.0
Turks and Caicos Islands,"HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,2548.0
Tuvalu,Protection at birth (PAB) against neonatal tetanus,100.0,21223.0
Wallis and Futuna,Protection at birth (PAB) against neonatal tetanus,100.0,4795.0
"occupied Palestinian territory, including east Jerusalem","HepB, birth dose total (including those given within and after 24 hours of birth)",100.0,125804.0
"occupied Palestinian territory, including east Jerusalem",Meningococcal A conjugate vaccine,100.0,89860.0
"occupied Palestinian territory, including east Jerusalem","Vitamin A, 1st dose",100.0,359440.0
Cuba,Typhoid conjugate vaccine,99.99499999999999,385266.0
Brunei Darussalam,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.98125,71072.0
Libya,"HepB, birth dose (given within 24 hours of birth)",99.97999999999999,2671232.0
Cuba,"Fractional inactivated polio-containing vaccine, 2nd dose",99.9575,770532.0
Oman,"Pneumococcal conjugate vaccine, 2nd dose",99.9435,4072656.0
Timor-Leste,"Pertussis-containing vaccine, 4th dose (1st booster)",99.91799999999999,21168.0
Turkmenistan,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.9,355360.0
Anguilla,"HepB, birth dose (given within 24 hours of birth)",99.85600000000001,486.0
Niue,"Pneumococcal conjugate vaccine, final dose",99.85461538461539,9592.0
Cuba,Typhoid,99.83333333333333,385266.0
Cuba,Influenza other,99.82,385266.0
Mali,"Pneumococcal conjugate vaccine, 1st dose",99.81260869565217,16049600.0
"China, Macao SAR","HepB, birth dose (given within 24 hours of birth)",99.81153846153846,131235.0
Cook Islands,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.79799999999999,23892.0
China,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.79166666666667,246581264.0
"occupied Palestinian territory, including east Jerusalem","Diphtheria-containing vaccine, 5th dose (2nd booster)",99.745,107832.0
"occupied Palestinian territory, including east Jerusalem","Tetanus-containing vaccine, 5th dose (2nd booster)",99.745,107832.0
"China, Macao SAR",Protection at birth (PAB) against neonatal tetanus,99.73333333333333,37015.0
Hungary,"Diphtheria-containing vaccine, 6th dose (3rd booster)",99.715,225300.0
Hungary,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",99.71428571428571,1389350.0
Cuba,"Fractional inactivated polio-containing vaccine, 1st dose",99.70833333333333,770532.0
Botswana,"DTP-containing vaccine, 1st dose",99.68977272727274,5193308.0
Maldives,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.68933333333334,345856.0
Cuba,"Tetanus-containing vaccine, 5th dose (2nd booster)",99.685,770532.0
Brunei Darussalam,"Inactivated polio-containing vaccine, 1st dose",99.67214285714286,128818.0
Panama,Influenza other,99.672,243978.0
Slovakia,"HepB, birth dose (given within 24 hours of birth)",99.66878787878788,1253736.0
"China, Macao SAR","HepB, birth dose total (including those given within and after 24 hours of birth)",99.66857142857143,47110.0
Uzbekistan,"Tetanus-containing vaccine, 6th dose (3rd booster)",99.65916666666666,1176084.0
Uzbekistan,"Diphtheria-containing vaccine, 6th dose (3rd booster)",99.65083333333332,1176084.0
Hungary,"Tetanus-containing vaccine, 6th dose (3rd booster)",99.64666666666668,225300.0
"occupied Palestinian territory, including east Jerusalem","Diphtheria-containing vaccine, 6th dose (3rd booster)",99.64,107832.0
"occupied Palestinian territory, including east Jerusalem","Tetanus-containing vaccine, 6th dose (3rd booster)",99.64,107832.0
Nicaragua,Influenza other,99.63999999999999,155250.0
Palau,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.6175,1520.0
Oman,"Inactivated polio-containing vaccine, 2nd dose",99.61666666666666,1527246.0
Oman,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.6125,2036328.0
Oman,"Inactivated polio-containing vaccine, 1st dose",99.6092,4921126.0
Niue,"Inactivated polio-containing vaccine, 1st dose",99.6086956521739,5450.0
Hungary,"Inactivated polio-containing vaccine, 1st dose",99.60846153846154,619575.0
Cuba,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.60428571428572,1027376.0
Bahrain,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.5675,141792.0
Nicaragua,"Inactivated polio-containing vaccine, 2nd dose",99.56166666666667,258750.0
Cuba,"Diphtheria-containing vaccine, 5th dose (2nd booster)",99.55666666666666,770532.0
Hungary,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.55333333333333,225300.0
Oman,"Pertussis-containing vaccine, 4th dose (1st booster)",99.55090909090909,2036328.0
Oman,"Tetanus-containing vaccine, 4th dose (1st booster)",99.55090909090909,2036328.0
Rwanda,"Pneumococcal conjugate vaccine, 2nd dose",99.54857142857142,11601360.0
Niue,"Hib, 3rd dose",99.54147540983607,20928.0
Hungary,"Pertussis-containing vaccine, 4th dose (1st booster)",99.53999999999999,225300.0
Hungary,"Tetanus-containing vaccine, 4th dose (1st booster)",99.53999999999999,225300.0
Hungary,"Hib, 3rd dose",99.50677966101696,1896275.0
Hungary,"Diphtheria-containing vaccine, 5th dose (2nd booster)",99.50222222222222,225300.0
Benin,"Pneumococcal conjugate vaccine, 1st dose",99.4896,6674112.0
Tuvalu,"Inactivated polio-containing vaccine, 1st dose",99.48518518518519,32393.0
Greece,"Inactivated polio-containing vaccine, 1st dose",99.47058823529412,2770225.0
Mongolia,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.469375,2522800.0
Japan,"Hib, 3rd dose",99.46137931034482,213253006.0
Tonga,"Rotavirus, 1st dose",99.46000000000001,185984.0
Hungary,"Tetanus-containing vaccine, 5th dose (2nd booster)",99.46,225300.0
Saint Vincent and the Grenadines,"Rubella-containing vaccine, 1st dose",99.45307692307694,90139.0
Hungary,BCG (Baccille Calmette Guérin) vaccine,99.45026548672567,2478300.0
Hungary,"DTP-containing vaccine, 1st dose",99.426,1783625.0
Tonga,"Pneumococcal conjugate vaccine, 1st dose",99.3942857142857,185984.0
Hungary,"Measles-containing vaccine, 1st dose",99.39213675213675,2478300.0
Hungary,"DTP-containing vaccine, 3rd dose",99.38760683760684,2478300.0
Tonga,"Pneumococcal conjugate vaccine, 2nd dose",99.38285714285713,139488.0
Luxembourg,"Inactivated polio-containing vaccine, 1st dose",99.37333333333333,35175.0
Monaco,"Inactivated polio-containing vaccine, 1st dose",99.36363636363636,4158.0
Oman,"HepB, birth dose (given within 24 hours of birth)",99.3565,12217968.0
China,Japanese encephalitis,99.324,493162528.0
Hungary,"Measles-containing vaccine, 2nd dose",99.31884615384617,1708525.0
Hungary,"Rubella-containing vaccine, 1st dose",99.31309090909092,1595875.0
Japan,"Pneumococcal conjugate vaccine, 2nd dose",99.290625,54447576.0
Andorra,"Inactivated polio-containing vaccine, 1st dose",99.25,9657.0
Albania,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.24333333333333,2638928.0
Bahrain,"Pneumococcal conjugate vaccine, 2nd dose",99.23583333333333,212688.0
Cuba,"Inactivated polio-containing vaccine, 1st dose",99.23076923076923,1862119.0
Netherlands (Kingdom of the),"HepB, birth dose total (including those given within and after 24 hours of birth)",99.22500000000001,2511920.0
Tokelau,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.21428571428571,1606.0
China,"Japanese encephalitis vaccine, 1st dose",99.21,92467974.0
Oman,"Rubella-containing vaccine, 1st dose",99.20620689655172,14254296.0
Algeria,"HepB, birth dose total (including those given within and after 24 hours of birth)",99.205,2755140.0
Uruguay,Yellow fever vaccine,99.2,2861760.0
Nicaragua,"Rotavirus, last dose",99.19980392156863,1345500.0
Hungary,"Polio, 3rd dose",99.19529914529915,2478300.0
Tonga,"Rotavirus, last dose",99.19333333333334,290600.0
Cuba,"HepB, birth dose (given within 24 hours of birth)",99.18885714285715,4623192.0
China,"Japanese encephalitis vaccine, last dose",99.182,92467974.0
Oman,"Hib, 3rd dose",99.17879310344827,17478482.0
Bahrain,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.17833333333333,106344.0
Bahrain,"Tetanus-containing vaccine, 4th dose (1st booster)",99.17583333333334,106344.0
Bahrain,"Pertussis-containing vaccine, 4th dose (1st booster)",99.17416666666666,106344.0
Mongolia,Influenza all persons above >6 months (universal recommendation),99.14,946050.0
Tonga,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.134,69744.0
Niue,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.125,2180.0
Niue,"Pertussis-containing vaccine, 4th dose (1st booster)",99.125,2180.0
Niue,"Tetanus-containing vaccine, 4th dose (1st booster)",99.125,2180.0
Oman,"Vitamin A, 1st dose",99.12297297297297,11539192.0
Japan,"Inactivated polio-containing vaccine, 1st dose",99.1228,61253523.0
Monaco,"DTP-containing vaccine, 3rd dose",99.10714285714286,17028.0
Monaco,"HepB, 3rd dose",99.10714285714286,14652.0
Monaco,"Hib, 3rd dose",99.10714285714286,13662.0
Oman,"HepB, 3rd dose",99.10186813186813,19684504.0
Brunei Darussalam,"HepB, 3rd dose",99.10133333333333,479736.0
Democratic Republic of the Congo,Meningococcal A conjugate vaccine,99.1,58409946.0
Tuvalu,"Pneumococcal conjugate vaccine, 1st dose",99.1,35744.0
Tuvalu,"Rotavirus, 1st dose",99.1,35744.0
Slovakia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",99.0909090909091,1097019.0
New Caledonia,"Inactivated polio-containing vaccine, 1st dose",99.08333333333333,55451.0
Norway,"Inactivated polio-containing vaccine, 1st dose",99.0751724137931,3413677.0
Monaco,"Polio, 3rd dose",99.07407407407408,17028.0
Tonga,"Tetanus-containing vaccine, 4th dose (1st booster)",99.07111111111112,69744.0
Qatar,"Pneumococcal conjugate vaccine, 1st dose",99.05642857142858,508172.0
Cuba,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.05250000000001,770532.0
Cuba,"Pertussis-containing vaccine, 4th dose (1st booster)",99.05250000000001,770532.0
Cuba,"Tetanus-containing vaccine, 4th dose (1st booster)",99.05250000000001,770532.0
China,"Inactivated polio-containing vaccine, 1st dose",99.0411111111111,416105883.0
Uzbekistan,Influenza other,99.04,294021.0
Monaco,"DTP-containing vaccine, 1st dose",99.02564102564102,13068.0
Turkmenistan,"Diphtheria-containing vaccine, 5th dose (2nd booster)",99.01666666666667,266520.0
Antigua and Barbuda,BCG (Baccille Calmette Guérin) vaccine,99.0,313896.0
Eritrea,"HPV Vaccination coverage by age 15, first dose, females",99.0,601510.0
Eritrea,"HPV Vaccination coverage by age 15, last dose, females",99.0,601510.0
High income: oecd,"Inactivated polio-containing vaccine, 2nd dose",99.0,
Iraq,Influenza travellers (incl. Hajj pilgrimage),99.0,4458915.0
Kuwait,Meningococcal ACYW conjugate vaccine,99.0,29578.0
Poland,"Inactivated polio-containing vaccine, 1st dose",99.0,28439350.0
Portugal,"Inactivated polio-containing vaccine, 1st dose",99.0,1137380.0
Sweden,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",99.0,14101875.0
Tokelau,"Diphtheria-containing vaccine, 4th dose (1st booster)",99.0,876.0
Uganda,"HPV Vaccination coverage by age 15, first dose, females",99.0,14543060.0
Uzbekistan,"HPV Vaccination coverage by age 15, first dose, females",99.0,1372098.0
Turkmenistan,"Tetanus-containing vaccine, 5th dose (2nd booster)",98.9909090909091,266520.0
Uzbekistan,"HPV Female, final dose",98.98666666666666,1176084.0
Iran (Islamic Republic of),"Hib, 3rd dose",98.98407407407407,51895050.0
Algeria,"HepB, birth dose (given within 24 hours of birth)",98.97938775510204,18183924.0
France,"Inactivated polio-containing vaccine, 1st dose",98.96363636363637,19123533.0
Israel,"Inactivated polio-containing vaccine, 2nd dose",98.96285714285713,455280.0
Oman,"Pneumococcal conjugate vaccine, final dose",98.95270270270271,8145312.0
China,"Pertussis-containing vaccine, 4th dose (1st booster)",98.93857142857144,184935948.0
China,"Tetanus-containing vaccine, 4th dose (1st booster)",98.935,184935948.0
Israel,"HepB, birth dose total (including those given within and after 24 hours of birth)",98.92833333333333,910560.0
China,"Diphtheria-containing vaccine, 4th dose (1st booster)",98.9225,184935948.0
New Caledonia,"Hib, 3rd dose",98.92142857142856,211722.0
Uzbekistan,"Diphtheria-containing vaccine, 5th dose (2nd booster)",98.91333333333333,1176084.0
Uzbekistan,"Tetanus-containing vaccine, 5th dose (2nd booster)",98.91333333333333,1176084.0
Turkmenistan,"HPV Female, final dose",98.89090909090909,266520.0
Turkmenistan,"HPV Male, final dose",98.89090909090909,266520.0
Brunei Darussalam,"DTP-containing vaccine, 1st dose",98.87722891566266,399780.0
Malta,Influenza residents living in long term care facilities,98.87,39084.0
Palau,"Inactivated polio-containing vaccine, 1st dose",98.8693103448276,2755.0
Cuba,"Rubella-containing vaccine, 1st dose",98.8622857142857,5136880.0
Tokelau,"Inactivated polio-containing vaccine, 1st dose",98.85714285714286,1314.0
Oman,"Measles-containing vaccine, 2nd dose",98.84666666666666,15781542.0
Bahrain,"Inactivated polio-containing vaccine, 1st dose",98.83999999999999,301308.0
Israel,"Inactivated polio-containing vaccine, 1st dose",98.83999999999999,1756080.0
Bahrain,"Diphtheria-containing vaccine, 5th dose (2nd booster)",98.83333333333333,106344.0
Bahrain,"Tetanus-containing vaccine, 5th dose (2nd booster)",98.83333333333333,106344.0
Nauru,"HepB, birth dose (given within 24 hours of birth)",98.8258064516129,38352.0
Tonga,"Rubella-containing vaccine, 1st dose",98.82245614035087,488208.0
Bahrain,"Inactivated polio-containing vaccine, 2nd dose",98.82,79758.0
Turkmenistan,"Rubella-containing vaccine, 1st dose",98.81574468085107,1554700.0
Belgium,"Inactivated polio-containing vaccine, 1st dose",98.81035714285714,8058926.0
Albania,"Pneumococcal conjugate vaccine, 1st dose",98.79833333333333,5277856.0
Niue,"HepB, 3rd dose",98.79808988764046,23762.0
Norway,"Pneumococcal conjugate vaccine, 1st dose",98.78428571428572,3766816.0
China,"Inactivated polio-containing vaccine, 2nd dose",98.77888888888889,138701961.0
China,"Diphtheria-containing vaccine, 5th dose (2nd booster)",98.77749999999999,184935948.0
Liberia,"Pertussis-containing vaccine, pregnant women",98.76,652260.0
China,"Tetanus-containing vaccine, 5th dose (2nd booster)",98.75857142857141,184935948.0
Morocco,"Diphtheria-containing vaccine, 4th dose (1st booster)",98.75,2151528.0
Morocco,"Pertussis-containing vaccine, 4th dose (1st booster)",98.75,2151528.0
Morocco,"Tetanus-containing vaccine, 4th dose (1st booster)",98.75,2151528.0
Cabo Verde,Yellow fever vaccine,98.74142857142857,3163840.0
Hungary,"Pneumococcal conjugate vaccine, 2nd dose",98.73785714285715,450600.0
Iran (Islamic Republic of),"Rubella-containing vaccine, 1st dose",98.73458333333333,42228325.0
Kazakhstan,"Rubella-containing vaccine, 1st dose",98.72734693877551,16974690.0
Albania,"HepB, birth dose (given within 24 hours of birth)",98.71303030303031,11875176.0
Tonga,"Tetanus-containing vaccine, 6th dose (3rd booster)",98.695,69744.0
French Polynesia,"DTP-containing vaccine, 1st dose",98.69333333333333,277488.0
Tonga,"Hib, 3rd dose",98.68796296296296,592824.0
Czechia,"Inactivated polio-containing vaccine, 1st dose",98.66666666666667,1666804.0
Finland,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",98.66666666666667,2581656.0
Czechia,"DTP-containing vaccine, 1st dose",98.6521212121212,4540604.0
Albania,"Inactivated polio-containing vaccine, 1st dose",98.64777777777778,4783057.0
Iran (Islamic Republic of),"Inactivated polio-containing vaccine, 2nd dose",98.64222222222223,4578975.0
French Polynesia,"Inactivated polio-containing vaccine, 1st dose",98.62857142857143,146452.0
Greece,"Pneumococcal conjugate vaccine, 1st dose",98.62,3056800.0
Chile,"Inactivated polio-containing vaccine, 1st dose",98.59583333333333,7285931.0
Cuba,BCG (Baccille Calmette Guérin) vaccine,98.59546153846154,8475852.0
Albania,"Pneumococcal conjugate vaccine, 2nd dose",98.57409090909091,3958392.0
French Polynesia,"Diphtheria-containing vaccine, 4th dose (1st booster)",98.56666666666666,92496.0
Kuwait,"Inactivated polio-containing vaccine, 1st dose",98.55916666666667,369725.0
United Republic of Tanzania,"Pneumococcal conjugate vaccine, 2nd dose",98.555,30736800.0
Brunei Darussalam,"Hib, 3rd dose",98.54576271186441,435316.0
Cuba,"Hib, 3rd dose",98.53712328767122,6613733.0
Kuwait,"Diphtheria-containing vaccine, 4th dose (1st booster)",98.53500000000001,118312.0
Kuwait,"Pertussis-containing vaccine, 4th dose (1st booster)",98.53500000000001,118312.0
Japan,"Pneumococcal conjugate vaccine, final dose",98.53241379310346,108895152.0
Singapore,"HepB, birth dose total (including those given within and after 24 hours of birth)",98.52,303672.0
Malta,"Inactivated polio-containing vaccine, 1st dose",98.51931034482759,188906.0
Slovakia,"DTP-containing vaccine, 1st dose",98.51488372093024,1375627.0
Monaco,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",98.5,7722.0
Tonga,"HepB, birth dose total (including those given within and after 24 hours of birth)",98.5,92992.0
Tonga,"HepB, birth dose (given within 24 hours of birth)",98.49701492537314,418464.0
